transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
54,08-05-21 17:35,P0322,5,americanexpress,374288132485151,T,13.65,2,14.89
55,08-05-21 21:40,P0484,4,mastercard,5108754483790330,F,10.9,1,11.59
56,08-05-21 22:40,P0035,6,visa,4041598082914470,F,11.76,3,13.09
57,08-05-21 23:32,P0268,7,americanexpress,374288707197975,T,11.93,1,13.39
58,09-05-21 1:25,P0741,5,americanexpress,374283963067350,F,8.06,2,8.69
59,09-05-21 1:54,P0454,5,visa,4041592983986480,F,5.79,2,6.99
60,09-05-21 3:19,P0474,5,visa,4041599964251,F,15.66,3,17.49
61,09-05-21 6:30,P0582,6,visa,4041593477620470,F,5.55,4,6.59
62,09-05-21 6:58,P0096,6,mastercard,5048371366204100,F,15.64,2,17.49
63,09-05-21 10:13,P0580,8,americanexpress,374283780229209,F,3.39,5,4.59
64,09-05-21 11:56,P0455,7,americanexpress,374288168586070,F,1.63,1,1.79
65,09-05-21 15:47,P0531,6,americanexpress,374288491063268,F,3.2,2,4.39
66,09-05-21 17:07,P0546,5,americanexpress,374283593685175,F,3.2,2,4.39
67,09-05-21 18:01,P0676,9,mastercard,5048375321591950,F,4.72,3,4.99
68,09-05-21 18:28,P0511,6,visa,4041599716520580,F,7.06,1,8.19
69,09-05-21 23:49,P0468,5,americanexpress,374288567196331,F,13.48,5,14.79
70,10-05-21 1:14,P0100,5,mastercard,5108756748746460,F,12.05,1,13.59
71,10-05-21 3:11,P0357,5,mastercard,5108758275045120,F,3.34,1,4.49
72,10-05-21 3:32,P0225,5,mastercard,5108757043026310,T,7.79,4,8.29
73,10-05-21 6:25,P0410,8,mastercard,5108751003991960,F,2.95,5,4.09
74,10-05-21 7:50,P0560,5,visa,4041599799749,F,1.4,3,1.69
75,10-05-21 8:28,P0353,5,visa,4041590972519,T,15.1,3,16.69
76,10-05-21 15:11,P0411,10,mastercard,5048370011791670,F,13.46,1,14.79
77,10-05-21 15:59,P0485,6,visa,4041597721372,F,19.85,2,21.39
78,10-05-21 19:28,P0622,4,mastercard,5108751065239700,F,13.87,1,14.89
79,10-05-21 23:56,P0527,5,americanexpress,374283920722238,F,16.63,3,18.09
80,11-05-21 0:48,P0482,10,americanexpress,374283230369324,F,2.75,1,3.89
81,11-05-21 3:15,P0291,7,americanexpress,374283225936665,F,14.13,1,14.89
82,11-05-21 4:09,P0697,3,mastercard,5108757114786530,F,19.48,1,21.29
83,11-05-21 4:15,P0535,6,visa,4041596926533700,F,12.16,1,13.69
84,11-05-21 4:35,P0021,6,visa,4041596591619800,F,14.13,2,14.89
85,11-05-21 6:56,P0516,9,mastercard,5108750142064690,F,6.12,3,7.49
86,11-05-21 7:20,P0628,8,mastercard,5048377950961150,T,16.23,1,17.99
87,11-05-21 15:06,P0461,10,mastercard,5048377512335490,T,15.83,3,17.69
88,11-05-21 15:41,P0278,6,americanexpress,374283664476645,F,13.24,2,14.69
89,11-05-21 17:38,P0628,5,mastercard,5048372178297590,F,16.23,3,17.99
90,11-05-21 18:34,P0460,6,americanexpress,374288984376292,F,4.37,1,4.99
91,11-05-21 19:51,P0258,6,mastercard,5048370342014710,F,16.65,1,18.09
92,12-05-21 1:01,P0748,5,mastercard,5108754264951670,F,10.22,2,11.49
93,12-05-21 3:15,P0214,5,mastercard,5048373304757970,F,3.27,3,4.49
94,12-05-21 3:19,P0471,6,mastercard,5048378490862110,F,14.12,1,14.89
95,12-05-21 4:20,P0258,7,visa,4041592754261,F,16.65,1,18.09
96,12-05-21 5:16,P0635,9,,3553657910290020,F,7.98,1,8.59
97,12-05-21 9:56,P0389,5,americanexpress,374283634553945,T,5.95,1,7.19
98,12-05-21 10:12,P0291,4,visa,4041597573081900,F,14.13,1,14.89
99,12-05-21 11:24,P0423,9,americanexpress,374283552274334,F,14.04,1,14.89
100,12-05-21 11:36,P0340,5,visa,4041597002081130,F,19.56,1,21.29
101,12-05-21 15:11,P0489,3,americanexpress,374288002362589,T,8.46,3,9.49
102,12-05-21 18:32,P0545,8,mastercard,5108757985493660,T,6.62,1,7.89
103,12-05-21 19:00,P0671,8,mastercard,5108752028002440,F,19.14,1,21.09
104,12-05-21 21:50,P0512,7,mastercard,5048377558214740,F,15.55,3,17.39
105,12-05-21 23:43,P0032,5,visa,4041598701409680,F,5.52,1,6.59
106,13-05-21 1:00,P0437,4,visa,4041591377387,F,0.1,3,1.19
107,13-05-21 3:26,P0429,9,americanexpress,374283299852251,F,0.78,2,1.59
108,13-05-21 7:08,P0505,8,americanexpress,374283427528658,F,3.97,3,4.89
109,13-05-21 7:17,P0423,8,mastercard,5108754133243630,F,14.04,3,14.89
110,13-05-21 15:07,P0391,8,visa,4041591729167270,F,1.6,4,1.79
111,13-05-21 18:01,P0430,6,americanexpress,374283942751819,F,17.67,2,18.99
112,13-05-21 18:45,P0584,8,mastercard,5048371336719510,T,12.95,1,14.59
113,14-05-21 2:52,P0131,5,visa,4041597595442920,F,11.71,1,12.99
114,14-05-21 12:09,P0297,6,mastercard,5048370123934020,F,17.82,1,19.29
115,14-05-21 17:24,P0294,6,americanexpress,374288906868806,F,12.38,1,13.99
116,14-05-21 17:42,P0417,5,mastercard,5108755026729270,F,16.73,2,18.09
117,14-05-21 18:30,P0690,9,mastercard,5108753300774140,F,11.93,4,13.39
118,14-05-21 18:57,P0376,5,visa,4041591291299,F,10.3,1,11.49
119,14-05-21 19:50,P0086,8,mastercard,5108753483795060,F,1.77,2,2.09
120,14-05-21 22:03,P0364,4,mastercard,5108757745263720,F,15.78,1,17.59
121,14-05-21 22:57,P0074,9,visa,4041597122511660,F,18.11,2,19.79
122,15-05-21 1:03,P0305,6,americanexpress,374283437595721,F,8.74,3,9.99
123,15-05-21 1:31,P0497,8,americanexpress,374288367344545,T,19.75,5,21.39
124,15-05-21 4:17,P0527,5,,3580112966082420,F,16.63,1,18.09
125,15-05-21 11:50,P0205,8,visa,4041590505962,F,16.68,1,18.09
126,15-05-21 12:00,P0423,6,americanexpress,374288179872592,F,14.04,1,14.89
127,15-05-21 14:28,P0526,4,visa,4041597104421,F,3.83,1,4.79
128,15-05-21 14:41,P0368,3,mastercard,5108758012745350,F,9.52,3,10.99
129,15-05-21 18:09,P0592,12,americanexpress,374288786300110,F,7.44,1,8.29
130,15-05-21 18:28,P0547,8,visa,4041597987969710,F,20,2,21.49
131,15-05-21 21:16,P0348,3,mastercard,5048370226314670,F,6.83,1,8.09
132,15-05-21 22:08,P0368,6,mastercard,5108759193067500,F,9.52,1,10.99
133,15-05-21 22:12,P0566,4,americanexpress,374283432883510,F,1.77,1,2.09
134,15-05-21 23:44,P0329,6,mastercard,5048373789263250,F,3.45,4,4.59
135,16-05-21 0:40,P0328,7,americanexpress,374288708285894,F,3.18,3,4.39
136,16-05-21 4:48,P0585,6,visa,4041591390959380,F,3.81,3,4.79
137,16-05-21 6:27,P0746,3,visa,4041590529418,F,6.57,1,7.89
138,16-05-21 9:28,P0399,6,mastercard,5048370550999420,F,9.83,3,11.29
139,16-05-21 11:12,P0215,5,mastercard,5108754366998160,F,0.81,1,1.59
140,16-05-21 16:37,P0456,2,americanexpress,374288879125242,F,18.35,1,20.19
141,16-05-21 18:32,P0372,7,visa,4041595972249930,F,5.75,1,6.89
142,16-05-21 20:50,P0683,5,americanexpress,374283251743746,T,11,1,11.59
143,16-05-21 20:58,P0190,9,americanexpress,374283735062168,F,18.93,3,20.89
144,16-05-21 22:24,P0509,6,,3584477636769100,F,11.66,6,12.89
145,16-05-21 23:13,P0484,6,mastercard,5108754691716620,F,10.9,1,11.59
146,17-05-21 0:36,P0703,6,americanexpress,374288490498556,F,17.42,1,18.49
147,17-05-21 2:22,P0493,5,mastercard,5048373690845000,F,18.02,2,19.69
148,17-05-21 2:30,P0299,5,visa,4041598330504,T,13.5,2,14.79
149,17-05-21 3:09,P0386,7,visa,4041590695901270,F,19.79,1,21.39
150,17-05-21 3:32,P0111,8,visa,4041598230811,T,11.74,1,13.09
151,17-05-21 5:01,P0720,8,mastercard,5108757250320030,F,1.16,1,1.69
152,17-05-21 5:53,P0575,7,mastercard,5048375426189850,F,2.81,4,3.99
153,17-05-21 6:21,P0175,9,americanexpress,374283587670001,F,10.26,2,11.49
154,17-05-21 8:14,P0160,8,visa,4041596348193,F,18.16,1,19.89
155,17-05-21 9:11,P0549,5,mastercard,5048374469877020,F,16.85,1,18.19
156,17-05-21 9:40,P0325,10,americanexpress,374283938821378,F,5.35,1,6.29
157,17-05-21 10:38,P0683,8,visa,4041592604409,F,11,1,11.59
158,17-05-21 16:45,P0475,4,visa,4041593530181,F,8.08,1,8.79
159,17-05-21 18:02,P0397,3,visa,4041591311236310,T,13.67,1,14.89
160,17-05-21 20:57,P0318,6,visa,4041593642028,F,6.76,1,7.99
161,18-05-21 1:00,P0708,4,mastercard,5108750916517090,F,17.79,5,19.19
162,18-05-21 1:40,P0747,6,americanexpress,374288697097185,F,14.79,1,16.19
163,18-05-21 3:34,P0187,2,mastercard,5048370867534620,F,4.17,1,4.89
164,18-05-21 4:27,P0319,5,visa,4041591635461,F,3.51,1,4.69
165,18-05-21 4:40,P0038,4,mastercard,5108750865399260,F,4.71,2,4.99
166,18-05-21 6:04,P0056,5,mastercard,5048377372987380,F,5.95,1,7.19
167,18-05-21 9:03,P0284,6,mastercard,5108759519483280,F,1.03,1,1.59
168,18-05-21 9:48,P0637,5,mastercard,5048371011862420,F,15.32,2,17.09
169,18-05-21 12:04,P0693,5,,372301380468902,F,15.07,1,16.69
170,18-05-21 14:02,P0247,2,visa,4041598690402,F,13.58,2,14.79
171,18-05-21 19:07,P0351,6,mastercard,5048376745152230,F,10.04,3,11.39
172,18-05-21 21:42,P0156,7,americanexpress,374288576914211,F,11.37,4,12.39
173,19-05-21 0:14,P0474,7,visa,4041591883038,F,15.66,3,17.49
174,19-05-21 1:35,P0343,9,americanexpress,374288628037987,F,3.66,4,4.79
175,19-05-21 3:03,P0522,9,americanexpress,374283935942185,F,4.9,3,5.39
176,19-05-21 3:39,P0692,8,americanexpress,374288055891443,F,11.98,1,13.49
177,19-05-21 4:44,P0402,7,visa,4041594109415680,F,11.61,3,12.79
178,19-05-21 6:06,P0258,8,americanexpress,374283974630204,T,16.65,4,18.09
179,19-05-21 7:10,P0442,5,mastercard,5048370297382200,F,14.89,1,16.39
180,19-05-21 13:13,P0364,6,mastercard,5048370502629550,F,15.78,1,17.59
181,19-05-21 13:46,P0483,4,visa,4041590069014760,T,17.52,2,18.69
182,19-05-21 14:18,P0590,4,visa,4041596555693090,F,8.1,2,8.79
183,19-05-21 16:12,P0010,7,mastercard,5108758776552930,F,3.3,3,4.49
184,19-05-21 17:46,P0314,7,americanexpress,374288774756141,T,14.84,3,16.29
185,19-05-21 17:59,P0664,4,americanexpress,374288180304742,F,3.42,2,4.59
186,19-05-21 19:38,P0600,2,mastercard,5048378241940700,F,7.38,2,8.29
187,19-05-21 20:15,P0388,3,visa,4041596179024780,F,17.9,2,19.39
188,19-05-21 21:38,P0235,3,visa,4041593066792750,F,11.99,2,13.49
189,19-05-21 22:15,P0316,6,visa,4041596928788,F,1.81,2,2.19
190,19-05-21 22:29,P0048,4,mastercard,5048371000867800,F,17.85,4,19.29
191,20-05-21 0:59,P0220,4,mastercard,5048370037466700,F,16,1,17.79
192,20-05-21 3:18,P0204,4,americanexpress,374283809130339,T,9.72,1,11.19
193,20-05-21 3:26,P0304,4,americanexpress,374283646650093,F,9.19,2,10.69
194,20-05-21 5:10,P0498,5,visa,4041599545126,F,11.6,1,12.79
195,20-05-21 8:07,P0230,6,americanexpress,374288951592772,F,4.3,1,4.99
196,20-05-21 9:05,P0355,6,visa,4041594277949,F,6.54,1,7.89
197,20-05-21 9:47,P0641,6,visa,4041597117258,F,13.58,6,14.79
198,20-05-21 10:37,P0475,5,americanexpress,374283601023922,F,8.08,5,8.79
199,20-05-21 11:33,P0283,5,visa,4041594078756760,F,1.68,1,1.89
200,20-05-21 13:25,P0201,6,americanexpress,374283700926975,F,9.9,3,11.29
201,20-05-21 13:42,P0066,4,visa,4041599708856,F,9.89,2,11.29
202,20-05-21 17:11,P0727,10,visa,4041593038136,T,15.63,2,17.49
203,20-05-21 19:46,P0165,6,americanexpress,374288242992310,F,0.94,1,1.59
204,20-05-21 20:01,P0319,6,visa,4041592524847,F,3.51,5,4.69
205,20-05-21 23:24,P0245,7,mastercard,5108750321288060,F,4.19,3,4.89
206,21-05-21 1:56,P0477,3,americanexpress,374283004939252,F,2.19,5,2.89
207,21-05-21 3:56,P0371,4,americanexpress,374283030377063,T,5.38,2,6.29
208,21-05-21 4:01,P0420,2,americanexpress,374283999640170,F,18.06,1,19.69
209,21-05-21 5:29,P0655,4,mastercard,5108759522255740,F,12.45,3,14.09
210,21-05-21 6:42,P0213,6,americanexpress,374288525756903,F,11.19,1,11.99
211,21-05-21 8:14,P0019,3,visa,4041591895390340,F,8.58,1,9.69
212,21-05-21 12:43,P0251,3,visa,4041599666501930,F,2.11,1,2.79
213,21-05-21 19:56,P0348,7,visa,4041598294213,F,6.83,1,8.09
214,21-05-21 22:20,P0450,6,mastercard,5048378874963810,F,3.76,3,4.79
215,22-05-21 2:28,P0370,5,visa,4041593492644940,F,19.51,1,21.29
216,22-05-21 4:33,P0299,4,,3588932531862990,F,13.5,2,14.79
217,22-05-21 7:02,P0462,4,mastercard,5048373794369160,F,14.63,1,15.89
218,22-05-21 13:04,P0448,5,mastercard,5048372837039640,T,7.11,4,8.19
219,22-05-21 13:12,P0381,9,americanexpress,374283750213514,F,5.05,1,5.69
220,22-05-21 13:45,P0745,8,visa,4041590619573,F,9.85,1,11.29
221,22-05-21 14:43,P0487,5,mastercard,5108752040997550,F,11.44,4,12.49
222,22-05-21 15:23,P0314,9,americanexpress,374288407436137,F,14.84,2,16.29
223,22-05-21 16:40,P0002,9,mastercard,5048373181666940,F,3.31,1,4.49
224,22-05-21 22:38,P0456,4,americanexpress,374283136554185,F,18.35,3,20.19
225,23-05-21 6:23,P0528,9,americanexpress,374283094746757,F,0.62,1,1.49
226,23-05-21 9:17,P0048,6,visa,4041595016041470,F,17.85,2,19.29
227,23-05-21 9:53,P0532,3,,3548887380820910,F,8.96,4,10.29
228,23-05-21 10:57,P0265,6,mastercard,5048372213981210,F,19.23,2,21.19
229,23-05-21 16:49,P0384,7,visa,4041598027241,T,4.83,2,5.19
230,23-05-21 17:24,P0344,8,americanexpress,374288156309295,F,9.86,1,11.29
231,23-05-21 17:52,P0407,7,visa,4041592780753,F,12.35,3,13.99
232,23-05-21 19:10,P0512,7,visa,4041599497765,F,15.55,1,17.39
233,23-05-21 21:40,P0247,9,mastercard,5108755704440190,F,13.58,1,14.79
234,23-05-21 22:21,P0675,5,visa,4041592184956270,F,12.34,5,13.99
235,23-05-21 23:21,P0418,5,mastercard,5108755723250980,F,13.24,1,14.69
236,24-05-21 4:03,P0517,8,mastercard,5108758793031850,F,5.11,2,5.79
237,24-05-21 6:04,P0465,6,americanexpress,374283913732558,F,9.61,2,11.09
238,24-05-21 6:11,P0409,7,mastercard,5048370206192090,F,18.03,3,19.69
239,24-05-21 9:04,P0304,4,americanexpress,374288727217845,F,9.19,2,10.69
240,24-05-21 10:27,P0494,5,mastercard,5048379707910350,F,17.33,1,18.29
241,24-05-21 15:29,P0155,6,americanexpress,374283656353711,F,7.92,2,8.39
242,24-05-21 20:50,P0420,9,visa,4041591413141,F,18.06,4,19.69
243,24-05-21 20:53,P0512,9,visa,4041595535865,F,15.55,1,17.39
244,24-05-21 21:01,P0482,4,visa,4041599552072,F,2.75,1,3.89
245,24-05-21 21:37,P0425,8,visa,4041598592814,F,10.49,4,11.49
246,25-05-21 6:12,P0392,8,americanexpress,374288538134270,T,13.78,3,14.89
247,25-05-21 6:15,P0212,3,visa,4041595978870660,F,1.86,2,2.29
248,25-05-21 10:01,P0559,5,visa,4041591049152490,F,6.29,2,7.69
249,25-05-21 11:43,P0506,4,visa,4041597507863860,F,10.54,3,11.59
250,25-05-21 15:39,P0640,8,mastercard,5048374194031490,F,9.92,1,11.29
251,25-05-21 23:43,P0741,5,mastercard,5048372558315490,T,8.06,4,8.69
252,26-05-21 3:16,P0618,6,visa,4041599808763,F,10.03,2,11.39
253,26-05-21 3:34,P0140,6,mastercard,5048370505540800,F,1.11,3,1.69
254,26-05-21 4:13,P0083,3,americanexpress,374288713011673,F,3.42,1,4.59
255,26-05-21 5:41,P0524,8,visa,4041598629305800,T,10.66,4,11.59
256,26-05-21 13:32,P0053,5,visa,4041591453873,F,0.33,1,1.29
257,26-05-21 15:22,P0584,5,americanexpress,374288383795886,F,12.95,2,14.59
258,26-05-21 16:51,P0550,6,visa,4041591238704,F,15.35,1,17.09
259,26-05-21 20:01,P0411,5,visa,4041594041147,F,13.46,3,14.79
260,26-05-21 21:10,P0491,8,visa,4041598581940,F,18,1,19.59
261,27-05-21 1:04,P0517,7,americanexpress,374288610743725,F,5.11,1,5.79
262,27-05-21 4:59,P0215,5,visa,4041598413272580,F,0.81,2,1.59
263,27-05-21 6:49,P0463,6,mastercard,5108755088116520,F,12.96,1,14.59
264,27-05-21 7:22,P0068,7,americanexpress,374288695755750,F,7.46,5,8.29
265,27-05-21 8:32,P0654,5,americanexpress,374283410601413,F,8.85,2,10.19
266,27-05-21 9:50,P0462,7,mastercard,5048376902735720,F,14.63,1,15.89
267,27-05-21 12:23,P0560,7,americanexpress,374283987719465,F,1.4,1,1.69
268,27-05-21 12:25,P0640,7,mastercard,5048377771166830,F,9.92,1,11.29
269,27-05-21 14:12,P0519,2,visa,4041590535310040,T,12.45,1,14.09
270,27-05-21 14:29,P0606,6,visa,4041591028944170,F,14.31,1,15.19
271,27-05-21 16:02,P0461,4,mastercard,5108756887815300,F,15.83,4,17.69
272,27-05-21 19:11,P0420,5,visa,4041592763304,T,18.06,2,19.69
273,27-05-21 20:12,P0463,7,visa,4041593791213,F,12.96,3,14.59
274,27-05-21 21:02,P0511,8,americanexpress,374283217167634,F,7.06,2,8.19
275,27-05-21 23:14,P0227,7,,5602220649888330000,F,7.59,4,8.29
276,28-05-21 0:03,P0228,4,visa,4041599292513560,F,0.09,3,1.09
277,28-05-21 1:10,P0499,6,americanexpress,374288061191481,F,16.3,1,17.99
278,28-05-21 4:58,P0393,5,mastercard,5048377334443920,F,10.94,2,11.59
279,28-05-21 5:07,P0667,6,visa,4041596403753780,F,12.7,2,14.39
280,28-05-21 6:32,P0544,6,mastercard,5048370134716110,F,19.72,4,21.39
281,28-05-21 6:47,P0158,7,mastercard,5108757268793510,F,3.02,3,4.19
282,28-05-21 12:53,P0254,8,mastercard,5108758399269310,F,11.44,1,12.49
283,28-05-21 13:17,P0729,7,,5440993547542820,F,9.34,2,10.89
284,28-05-21 16:01,P0216,8,americanexpress,374283478490410,F,13.96,2,14.89
285,28-05-21 17:24,P0352,7,americanexpress,374283078479268,F,2.04,2,2.59
286,28-05-21 23:41,P0418,5,mastercard,5108757514514120,F,13.24,3,14.69
287,29-05-21 3:26,P0637,11,visa,4041592840110,F,15.32,2,17.09
288,29-05-21 4:12,P0494,6,mastercard,5048372882232340,F,17.33,3,18.29
289,29-05-21 5:53,P0503,5,americanexpress,374288920471389,F,12.07,1,13.59
290,29-05-21 6:39,P0498,7,visa,4041594740706,T,11.6,1,12.79
291,29-05-21 11:29,P0599,7,americanexpress,374288606308053,F,13.54,2,14.79
292,29-05-21 11:30,P0223,8,mastercard,5108754788181270,F,6.71,1,7.99
293,29-05-21 15:07,P0124,5,americanexpress,374288654735363,F,0.87,1,1.59
294,29-05-21 16:42,P0010,6,mastercard,5048375115615070,F,3.3,1,4.49
295,29-05-21 16:50,P0455,6,visa,4041598992071,F,1.63,1,1.79
296,29-05-21 17:26,P0422,5,visa,4041595222399,F,4.3,3,4.99
297,29-05-21 20:39,P0491,5,visa,4041590527668000,T,18,1,19.59
298,29-05-21 23:37,P0478,9,,3579180526346210,F,18.67,3,20.59
299,30-05-21 3:26,P0299,5,visa,4041590203204,F,13.5,1,14.79
300,30-05-21 5:05,P0570,6,visa,4041599414893,T,2.32,3,3.19
301,30-05-21 6:33,P0380,6,visa,4041595685967,F,10.56,4,11.59
302,30-05-21 9:03,P0348,7,americanexpress,374283172927451,F,6.83,2,8.09
303,30-05-21 10:40,P0598,3,mastercard,5108752288886570,F,11.99,1,13.49
304,30-05-21 10:44,P0493,7,visa,4041590914006220,F,18.02,1,19.69
305,30-05-21 10:52,P0431,6,mastercard,5048376100331490,F,10.67,2,11.59
306,30-05-21 11:31,P0055,8,americanexpress,374283442838579,F,4.06,3,4.89
307,30-05-21 14:45,P0608,5,visa,4041598731172,T,11.04,4,11.69
308,30-05-21 14:54,P0420,12,americanexpress,374288288645814,F,18.06,3,19.69
309,30-05-21 17:54,P0661,7,mastercard,5108750980155670,F,8.21,2,8.99
310,30-05-21 18:11,P0606,9,americanexpress,374288089919434,F,14.31,2,15.19
311,30-05-21 22:09,P0131,3,americanexpress,374288001518033,F,11.71,1,12.99
312,31-05-21 3:41,P0474,7,visa,4041596219604130,F,15.66,2,17.49
313,31-05-21 4:55,P0599,6,americanexpress,374288343172440,T,13.54,4,14.79
314,31-05-21 5:13,P0581,5,visa,4041597346745340,F,0.51,5,1.49
315,31-05-21 6:13,P0339,8,americanexpress,374283061197372,T,19.62,3,21.39
316,31-05-21 6:31,P0503,5,visa,4041590218661220,F,12.07,1,13.59
317,31-05-21 8:41,P0254,7,americanexpress,374283259571974,T,11.44,2,12.49
318,31-05-21 9:11,P0240,6,mastercard,5048376956963060,F,1.27,1,1.69
319,31-05-21 9:45,P0424,6,mastercard,5108756464366760,F,6.61,1,7.89
320,31-05-21 13:02,P0406,2,visa,4041598529844360,F,7.19,2,8.19
321,31-05-21 13:14,P0302,7,americanexpress,374288461558693,F,5.98,1,7.29
322,31-05-21 14:01,P0457,6,americanexpress,374288420393877,F,2.02,2,2.59
323,31-05-21 14:14,P0496,7,americanexpress,374288817576951,F,13.53,1,14.79
324,31-05-21 19:22,P0170,4,visa,4041590850487100,F,8.13,1,8.89
325,31-05-21 20:15,P0199,8,mastercard,5108757929642990,F,6.42,3,7.79
326,01-06-21 4:50,P0194,4,mastercard,5048372169434500,F,10.82,2,11.59
327,01-06-21 5:15,P0013,6,mastercard,5048379453855160,F,8.36,1,9.29
328,01-06-21 9:56,P0350,6,americanexpress,374283829003334,T,17.21,1,18.19
329,01-06-21 11:30,P0551,5,americanexpress,374283998722821,F,3.29,2,4.49
330,01-06-21 13:32,P0393,6,americanexpress,374288577918161,F,10.94,2,11.59
331,01-06-21 15:03,P0457,5,visa,4041599182357840,F,2.02,1,2.59
332,01-06-21 15:07,P0640,2,visa,4041598309664,F,9.92,2,11.29
333,01-06-21 15:13,P0519,5,visa,4041595139464590,F,12.45,4,14.09
334,01-06-21 16:06,P0486,4,mastercard,5048379964702700,F,6.52,1,7.89
335,01-06-21 18:15,P0469,6,visa,4041592133524040,T,0.92,3,1.59
336,01-06-21 18:34,P0672,5,americanexpress,374288885231109,F,19.89,3,21.39
337,01-06-21 23:02,P0211,4,mastercard,5048379418800450,F,17.54,1,18.69
338,02-06-21 0:38,P0210,3,visa,4041592528400,F,2.78,3,3.89
339,02-06-21 2:38,P0535,4,visa,4041593374432,T,12.16,1,13.69
